,Unnamed: 0,Page_Number,Standard,Crane_Model,Configuration,Slew_Range_deg,Track_Width m,Main_Boom_Length m,Boom_Angle_deg,Angle_Jib_to_Main_Boom_deg,Jib_Length m,SL_Mast_Length m,SL_Mast_Radius m,Superlift_Radius m,Counterweight t,Superlift_Counterweight t,Central_Ballast t,Radius_List,Radis column head,head_configure
0,0,1,DIN15019.2,,,0-360,8.4,,,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
1,1,2,DIN15019.2,,,0-360,8.4,,,,,,,,160,,0,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
2,2,3,DIN15019.2,,,0-360,8.4,,,,,,,,140,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
3,3,4,DIN15019.2,,,0-360,8.4,,,,,,,,140,,0,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
4,4,5,DIN15019.2,,,0-360,8.4,,,,,,,,120,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
5,5,6,DIN15019.2,,,0-360,8.4,,,,,,,,120,,0,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
6,6,7,DIN15019.2,,,0-360,8.4,,,,,,,,100,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
7,7,8,DIN15019.2,,,0-360,8.4,,,,,,,,100,,0,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
8,8,9,DIN15019.2,,,0-360,8.4,,,,,,,,80,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
9,9,10,DIN15019.2,,,0-360,8.4,,,,,,,,80,,0,"['72', '78', '84']","['single hook block', 'DS-Code']",SH
10,10,11,DIN15019.2,,,0-360,8.4,,,,,,,,180,,60,"['24', '30', '36', '42', '48', '54', '60', '66']","['Hook block does not reach the ground #', 'double hook block *', 'single hook block', 'DS-Code']",SH
11,11,12,DIN15019.2,,,0-360,8.4,,,,,,,,180,,60,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
12,12,13,DIN15019.2,,,0-360,8.4,,,,,,,,160,,60,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SH
13,13,14,DIN15019.2,,,0-360,8.4,,,,,,,,160,,60,"['72', '78', '84']","['double hook block *', 'single hook block', 'DS-Code']",SH
14,14,15,DIN15019.2,,,0-360,8.4,,,,,,,,160,,0,"['66', '72', '78', '84', '90', '96', '102']","['double hook block *', 'single hook block', 'DS-Code']",SH/LH
15,15,16,DIN15019.2,,,0-360,8.4,,,,,,,,180,,60,"['66', '72', '78', '84', '90', '96', '102']","['double hook block *', 'single hook block', 'DS-Code']",SH/LH
16,16,17,DIN15019.2,,,0-360,8.4,,,,,,,,160,,60,"['66', '72', '78', '84', '90', '96', '102']","['double hook block *', 'single hook block', 'DS-Code']",SH/LH
17,17,18,DIN15019.2,,,0-360,8.4,30.0,85.0,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['double hook block *', 'single hook block', 'DS-Code']",SW
18,18,19,DIN15019.2,,,0-360,8.4,30.0,85.0,,,,,,160,,0,"['72', '78', '84']","['single hook block', 'DS-Code']",SW
19,19,20,DIN15019.2,,,0-360,8.4,36.0,85.0,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['single hook block', 'DS-Code']",SW
20,20,21,DIN15019.2,,,0-360,8.4,36.0,85.0,,,,,,160,,0,"['72', '78', '84']","['single hook block', 'DS-Code']",SW
21,21,22,DIN15019.2,,,0-360,8.4,42.0,85.0,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['single hook block', 'DS-Code']",SW
22,22,23,DIN15019.2,,,0-360,8.4,42.0,85.0,,,,,,160,,0,"['72', '78', '84']","['single hook block', 'DS-Code']",SW
23,23,24,DIN15019.2,,,0-360,8.4,48.0,85.0,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['single hook block', 'DS-Code']",SW
24,24,25,DIN15019.2,,,0-360,8.4,48.0,85.0,,,,,,160,,0,"['72', '78', '84']","['single hook block', 'DS-Code']",SW
25,25,26,DIN15019.2,,,0-360,8.4,54.0,85.0,,,,,,160,,0,"['24', '30', '36', '42', '48', '54', '60', '66']","['single hook block', 'DS-Code']",SW
