,Page_Number,Standard,Crane_Model,Configuration,Slew_Range_deg,Track_Width m,Main_Boom_Length m,Boom_Angle_deg,Angle_Jib_to_Main_Boom_deg,Jib_Length m,SL_Mast_Length m,SL_Mast_Radius m,Superlift_Radius m,Counterweight t,Superlift_Counterweight t,Central_Ballast t,Radius_List,Radis column head,head_configure
0,1002,DIN15019.2,,,0-360,8.4,66,85,,72.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['single hook block', 'DS-Code']",SWSL
1,1003,DIN15019.2,,,0-360,8.4,66,85,,78.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['single hook block', 'DS-Code']",SWSL
2,1004,DIN15019.2,,,0-360,8.4,66,85,,84.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
3,1005,DIN15019.2,,,0-360,8.4,66,85,,90.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
4,1006,DIN15019.2,,,0-360,8.4,66,85,,96.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['single hook block', 'DS-Code']",SWSL
5,1007,DIN15019.2,,,0-360,8.4,72,85,,24.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
6,1008,DIN15019.2,,,0-360,8.4,72,85,,30.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
7,1009,DIN15019.2,,,0-360,8.4,72,85,,36.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
8,1010,DIN15019.2,,,0-360,8.4,72,85,,42.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
9,1011,DIN15019.2,,,0-360,8.4,72,85,,48.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
10,1012,DIN15019.2,,,0-360,8.4,72,85,,54.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['single hook block', 'DS-Code']",SWSL
11,1013,DIN15019.2,,,0-360,8.4,72,85,,60.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200', '250']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
12,1014,DIN15019.2,,,0-360,8.4,72,85,,66.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
13,1015,DIN15019.2,,,0-360,8.4,72,85,,72.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
14,1016,DIN15019.2,,,0-360,8.4,72,85,,78.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
15,1017,DIN15019.2,,,0-360,8.4,72,85,,84.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
16,1018,DIN15019.2,,,0-360,8.4,72,85,,90.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['single hook block', 'DS-Code']",SWSL
17,1019,DIN15019.2,,,0-360,8.4,72,85,,96.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['single hook block', 'DS-Code']",SWSL
18,1020,DIN15019.2,,,0-360,8.4,78,85,,30.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
19,1021,DIN15019.2,,,0-360,8.4,78,85,,36.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
20,1022,DIN15019.2,,,0-360,8.4,78,85,,42.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
21,1023,DIN15019.2,,,0-360,8.4,78,85,,48.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
22,1024,DIN15019.2,,,0-360,8.4,78,85,,54.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['double hook block *', 'single hook block', 'DS-Code']",SWSL
23,1025,DIN15019.2,,,0-360,8.4,78,85,,60.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
24,1026,DIN15019.2,,,0-360,8.4,78,85,,66.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
25,1027,DIN15019.2,,,0-360,8.4,78,85,,72.0,30,15.5,15.0,160,,0,"['0', '50', '100', '150', '200']","['single hook block', 'DS-Code']",SWSL
