,Page_Number,Standard,Crane_Model,Configuration,Slew_Range_deg,Track_Width m,Main_Boom_Length m,Boom_Angle_deg,Angle_Jib_to_Main_Boom_deg,Jib_Length m,SL_Mast_Length m,SL_Mast_Radius m,Superlift_Radius m,Counterweight t,Superlift_Counterweight t,Central_Ballast t,Radius_List,Radis column head,head_configure
0,2002,DIN15019.2,,,0-360,8.4,60,55.0,,36.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
1,2003,DIN15019.2,,,0-360,8.4,60,55.0,,42.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
2,2004,DIN15019.2,,,0-360,8.4,60,55.0,,48.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
3,2005,DIN15019.2,,,0-360,8.4,60,55.0,,54.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
4,2006,DIN15019.2,,,0-360,8.4,60,55.0,,60.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
5,2007,DIN15019.2,,,0-360,8.4,60,55.0,,66.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
6,2008,DIN15019.2,,,0-360,8.4,60,55.0,,72.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
7,2009,DIN15019.2,,,0-360,8.4,60,55.0,,78.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
8,2010,DIN15019.2,,,0-360,8.4,60,55.0,,84.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
9,2011,DIN15019.2,,,0-360,8.4,60,55.0,,90.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
10,2012,DIN15019.2,,,0-360,8.4,60,55.0,,96.0,30,13.5,13.0,160,,0,"['200', '250', '300']","['single hook block', 'DS-Code']",SWSL
11,2013,DIN15019.2,,,0-360,8.4,66,55.0,,24.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
12,2014,DIN15019.2,,,0-360,8.4,66,55.0,,30.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
13,2015,DIN15019.2,,,0-360,8.4,66,55.0,,36.0,30,13.5,13.0,160,,0,"['50', '100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
14,2016,DIN15019.2,,,0-360,8.4,66,55.0,,42.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
15,2017,DIN15019.2,,,0-360,8.4,66,55.0,,48.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
16,2018,DIN15019.2,,,0-360,8.4,66,55.0,,54.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
17,2019,DIN15019.2,,,0-360,8.4,66,55.0,,60.0,30,13.5,13.0,160,,0,"['100', '150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
18,2020,DIN15019.2,,,0-360,8.4,66,55.0,,66.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
19,2021,DIN15019.2,,,0-360,8.4,66,55.0,,72.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
20,2022,DIN15019.2,,,0-360,8.4,66,55.0,,78.0,30,13.5,13.0,160,,0,"['150', '200', '250', '300']","['single hook block', 'DS-Code']",SWSL
21,2023,DIN15019.2,,,0-360,8.4,66,55.0,,84.0,30,13.5,13.0,160,,0,"['200', '250', '300']","['single hook block', 'DS-Code']",SWSL
